product_id,day,base_price,price,competitor_price,promo,day_of_week,units_sold,cost_per_unit,revenue,profit
1,1,543.27,576.27,491.74,0,0,86,305.63,49559.22,23275.04
1,2,543.27,577.8,620.67,0,1,101,249.1,58357.8,33198.7
1,3,543.27,483.2,602.0,1,2,220,316.25,106304.0,36729.0
1,4,543.27,543.47,517.78,0,3,98,270.32,53260.06,26768.7
1,5,543.27,538.38,513.64,0,4,99,275.71,53299.62,26004.33
1,6,543.27,570.81,513.85,0,5,97,304.97,55368.57,25786.48
1,7,543.27,503.34,530.26,0,6,131,230.46,65937.54,35747.28
1,8,543.27,548.37,560.21,0,0,104,238.26,57030.48,32251.44
1,9,543.27,548.29,547.61,0,1,103,313.19,56473.87,24215.3
1,10,543.27,498.66,528.5,0,2,119,312.51,59340.54,22151.85
1,11,543.27,452.14,572.04,1,3,235,322.77,106252.9,30401.95
1,12,543.27,581.66,507.89,0,4,83,312.63,48277.78,22329.49
1,13,543.27,480.51,528.62,1,5,223,207.44,107153.73,60894.61
1,14,543.27,499.73,538.7,0,6,132,302.02,65964.36,26097.72
1,15,543.27,498.8,550.89,0,0,123,245.81,61352.4,31117.77
1,16,543.27,517.49,595.58,0,1,123,324.71,63651.27,23711.94
1,17,543.27,583.99,516.06,0,2,83,254.29,48471.17,27365.1
1,18,543.27,424.44,558.79,1,3,262,265.37,111203.28,41676.34
1,19,543.27,567.17,569.4,0,4,97,262.1,55015.49,29591.79
1,20,543.27,499.94,495.25,0,5,120,233.84,59992.8,31932.0
1,21,543.27,556.65,571.46,0,6,123,200.33,68467.95,43827.36
1,22,543.27,527.63,512.1,0,0,100,311.79,52763.0,21584.0
1,23,543.27,574.66,497.78,0,1,79,299.16,45398.14,21764.5
1,24,543.27,515.3,617.82,1,2,206,209.09,106151.8,63079.26
1,25,543.27,558.39,620.09,0,3,105,295.64,58630.95,27588.75
1,26,543.27,514.55,598.74,0,4,124,275.15,63804.2,29685.6
